"DISTRITO","SECCION","BARRIO","PAIS_NACIMIENTO","HOMBRES","MUJERES"
" 01"," 002","FERIA","AZERBAIAN",0,1
" 01"," 002","FERIA","BELGICA",0,1
" 01"," 002","FERIA","BIELORUSIA",1,0
" 01"," 002","FERIA","BOLIVIA",1,2
" 01"," 002","FERIA","BRASIL",2,0
" 01"," 002","FERIA","BULGARIA",0,1
" 01"," 002","FERIA","BURKINA FASSO",1,1
" 01"," 002","FERIA","CHILE",0,1
" 01"," 002","FERIA","CHINA",3,1
" 01"," 002","FERIA","COLOMBIA",0,3
" 01"," 002","FERIA","CUBA",1,0
" 01"," 002","FERIA","ESTADOS UNIDOS DE AMERICA",0,1
" 01"," 002","FERIA","FRANCIA",8,6
" 01"," 002","FERIA","GRECIA",0,1
" 01"," 002","FERIA","GUATEMALA",0,1
" 01"," 002","FERIA","HONDURAS",0,1
" 01"," 002","FERIA","INDIA",0,5
" 01"," 002","FERIA","IRLANDA",1,1
" 01"," 002","FERIA","ITALIA",9,7
" 01"," 002","FERIA","KENIA",0,1
" 01"," 002","FERIA","MARRUECOS",3,4
" 01"," 002","FERIA","MEXICO",0,1
" 01"," 002","FERIA","MONTENEGRO",0,2
" 01"," 002","FERIA","NORUEGA",0,2
" 01"," 002","FERIA","PAISES BAJOS",1,1
" 01"," 002","FERIA","PERU",3,5
" 01"," 002","FERIA","POLONIA",3,1
" 01"," 002","FERIA","PRINCIPADO DE ANDORRA",1,1
" 01"," 002","FERIA","REINO UNIDO",5,5
" 01"," 002","FERIA","REPUBLICA CENTROAFRICANA",0,1
" 01"," 002","FERIA","REPUBLICA DE COREA",0,1
" 01"," 002","FERIA","REPUBLICA DEMOCRATICA DEL CONGO",0,1
" 01"," 002","FERIA","REPUBLICA DOMINICANA",0,1
" 01"," 002","FERIA","RUMANIA",2,0
" 01"," 002","FERIA","RUSIA",0,1
" 01"," 002","FERIA","SUECIA",0,1
" 01"," 002","FERIA","SUIZA",0,1
" 01"," 002","FERIA","VENEZUELA",0,1
" 01"," 003","FERIA","ALEMANIA",0,4
" 01"," 003","FERIA","ARGENTINA",4,0
" 01"," 003","FERIA","ARMENIA",1,0
" 01"," 003","FERIA","BELGICA",2,0
" 01"," 003","FERIA","BURKINA FASSO",1,0
" 01"," 003","FERIA","CANADA",0,1
" 01"," 003","FERIA","CHILE",2,0
" 01"," 003","FERIA","CHINA",2,2
" 01"," 003","FERIA","COLOMBIA",1,3
" 01"," 003","FERIA","ESTADOS UNIDOS DE AMERICA",1,1
" 01"," 003","FERIA","FRANCIA",5,6
" 01"," 003","FERIA","GRECIA",1,1
" 01"," 003","FERIA","GUINEA BISSAU",0,1
" 01"," 003","FERIA","ISLANDIA",0,1
" 01"," 003","FERIA","ISRAEL",1,0
" 01"," 003","FERIA","ITALIA",10,8
" 01"," 003","FERIA","JAPON",0,3
" 01"," 003","FERIA","MARRUECOS",4,1
" 01"," 003","FERIA","MEXICO",0,3
" 01"," 003","FERIA","NORUEGA",2,0
" 01"," 003","FERIA","PAISES BAJOS",1,0
" 01"," 003","FERIA","POLONIA",2,1
" 01"," 003","FERIA","PORTUGAL",1,0
" 01"," 003","FERIA","REINO UNIDO",7,1
" 01"," 003","FERIA","REPUBLICA DEMOCRATICA DEL CONGO",0,1
" 01"," 003","FERIA","RUMANIA",2,0
" 01"," 003","FERIA","RUSIA",1,1
" 01"," 003","FERIA","SERBIA Y MONTENEGRO",0,1
" 01"," 003","FERIA","SUECIA",0,1
" 01"," 003","FERIA","TANZANIA",1,0
" 01"," 003","FERIA","TURQUIA",0,1
" 01"," 003","FERIA","VENEZUELA",0,1
" 01"," 004","ENCARNACION-REGINA","ALBANIA",1,3
" 01"," 004","ENCARNACION-REGINA","ALEMANIA",3,2
" 01"," 004","ENCARNACION-REGINA","ARGENTINA",1,15
" 01"," 004","ENCARNACION-REGINA","ARMENIA",0,1
" 01"," 004","ENCARNACION-REGINA","AZERBAIAN",0,1
" 01"," 004","ENCARNACION-REGINA","BELGICA",0,1
" 01"," 004","ENCARNACION-REGINA","BRASIL",2,2
" 01"," 004","ENCARNACION-REGINA","BULGARIA",0,3
" 01"," 004","ENCARNACION-REGINA","CHINA",1,1
" 01"," 004","ENCARNACION-REGINA","COLOMBIA",1,1
" 01"," 004","ENCARNACION-REGINA","ECUADOR",3,4
" 01"," 004","ENCARNACION-REGINA","ESTADOS UNIDOS DE AMERICA",4,3
" 01"," 004","ENCARNACION-REGINA","ESTONIA",0,1
" 01"," 004","ENCARNACION-REGINA","ETIOPIA",1,0
" 01"," 004","ENCARNACION-REGINA","FINLANDIA",0,1
" 01"," 004","ENCARNACION-REGINA","FRANCIA",5,2
" 01"," 004","ENCARNACION-REGINA","GRECIA",0,1
" 01"," 004","ENCARNACION-REGINA","IRLANDA",1,1
" 01"," 004","ENCARNACION-REGINA","ISRAEL",1,0
" 01"," 004","ENCARNACION-REGINA","ITALIA",5,5
" 01"," 004","ENCARNACION-REGINA","KENIA",0,4
" 01"," 004","ENCARNACION-REGINA","MACEDONIA",0,1
" 01"," 004","ENCARNACION-REGINA","MARRUECOS",1,2
" 01"," 004","ENCARNACION-REGINA","MEXICO",0,13
" 01"," 004","ENCARNACION-REGINA","MONTENEGRO",0,1
" 01"," 004","ENCARNACION-REGINA","NICARAGUA",0,1
" 01"," 004","ENCARNACION-REGINA","PARAGUAY",0,2
" 01"," 004","ENCARNACION-REGINA","POLONIA",1,2
" 01"," 004","ENCARNACION-REGINA","REINO UNIDO",7,4
" 01"," 004","ENCARNACION-REGINA","REPUBLICA CENTROAFRICANA",0,2
" 01"," 004","ENCARNACION-REGINA","REPUBLICA DE COREA",0,2
" 01"," 004","ENCARNACION-REGINA","REPUBLICA DEMOCRATICA ALEMANA",0,1
" 01"," 004","ENCARNACION-REGINA","REPUBLICA DEMOCRATICA DEL CONGO",1,0
" 01"," 004","ENCARNACION-REGINA","REPUBLICA DOMINICANA",0,1
" 01"," 004","ENCARNACION-REGINA","RUMANIA",0,5
" 01"," 004","ENCARNACION-REGINA","RUSIA",0,2
" 01"," 004","ENCARNACION-REGINA","SANTA SEDE",0,1
" 01"," 004","ENCARNACION-REGINA","SERBIA Y MONTENEGRO",1,0
" 01"," 004","ENCARNACION-REGINA","SUIZA",0,1
" 01"," 004","ENCARNACION-REGINA","TURQUIA",1,1
" 01"," 004","ENCARNACION-REGINA","VENEZUELA",0,1
" 01"," 004","ENCARNACION-REGINA","ZAMBIA",0,1
" 01"," 005","ENCARNACION-REGINA","ALBANIA",1,1
" 01"," 005","ENCARNACION-REGINA","ALEMANIA",9,6
" 01"," 005","ENCARNACION-REGINA","ARGENTINA",4,5
" 01"," 005","ENCARNACION-REGINA","AUSTRIA",1,1
" 01"," 005","ENCARNACION-REGINA","BELGICA",1,0
" 01"," 005","ENCARNACION-REGINA","BOLIVIA",0,1
" 01"," 005","ENCARNACION-REGINA","BRASIL",1,0
" 01"," 005","ENCARNACION-REGINA","CHINA",7,4
" 01"," 005","ENCARNACION-REGINA","COLOMBIA",0,6
" 01"," 005","ENCARNACION-REGINA","CUBA",2,2
" 01"," 005","ENCARNACION-REGINA","ECUADOR",0,2
" 01"," 005","ENCARNACION-REGINA","EL SALVADOR",0,1
" 01"," 005","ENCARNACION-REGINA","ESLOVAQUIA",1,2
" 01"," 005","ENCARNACION-REGINA","ESLOVENIA",1,0
" 01"," 005","ENCARNACION-REGINA","ESTADOS UNIDOS DE AMERICA",0,3
" 01"," 005","ENCARNACION-REGINA","FRANCIA",3,3
" 01"," 005","ENCARNACION-REGINA","HONDURAS",0,1
" 01"," 005","ENCARNACION-REGINA","HUNGRIA",0,1
" 01"," 005","ENCARNACION-REGINA","ISLANDIA",0,1
" 01"," 005","ENCARNACION-REGINA","ISRAEL",0,1
" 01"," 005","ENCARNACION-REGINA","ITALIA",4,4
" 01"," 005","ENCARNACION-REGINA","MARRUECOS",3,2
" 01"," 005","ENCARNACION-REGINA","MAURITANIA",1,0
" 01"," 005","ENCARNACION-REGINA","MONTENEGRO",0,1
" 01"," 005","ENCARNACION-REGINA","MOZAMBIQUE",1,0
" 01"," 005","ENCARNACION-REGINA","OTROS PAISES SIN RELACION DIPLOMATICA",0,1
" 01"," 005","ENCARNACION-REGINA","PARAGUAY",1,2
" 01"," 005","ENCARNACION-REGINA","PERU",2,1
" 01"," 005","ENCARNACION-REGINA","PORTUGAL",5,2
" 01"," 005","ENCARNACION-REGINA","REINO UNIDO",4,10
" 01"," 005","ENCARNACION-REGINA","RUMANIA",0,1
" 01"," 005","ENCARNACION-REGINA","RUSIA",1,0
" 01"," 005","ENCARNACION-REGINA","SIERRA LEONA",1,0
" 01"," 005","ENCARNACION-REGINA","UGANDA",1,0
" 01"," 005","ENCARNACION-REGINA","URUGUAY",1,0
" 01"," 005","ENCARNACION-REGINA","VENEZUELA",5,3
" 01"," 006","ENCARNACION-REGINA","ALBANIA",1,2
" 01"," 006","ENCARNACION-REGINA","ALEMANIA",2,1
" 01"," 006","ENCARNACION-REGINA","ANGOLA",1,0
" 01"," 006","ENCARNACION-REGINA","ARGELIA",1,0
" 01"," 006","ENCARNACION-REGINA","AUSTRALIA",1,1
" 01"," 006","ENCARNACION-REGINA","BELGICA",1,1
" 01"," 006","ENCARNACION-REGINA","BOLIVIA",3,4
" 01"," 006","ENCARNACION-REGINA","BRASIL",4,8
" 01"," 006","ENCARNACION-REGINA","CAMERUN",0,1
" 01"," 006","ENCARNACION-REGINA","CHINA",4,3
" 01"," 006","ENCARNACION-REGINA","COLOMBIA",4,5
" 01"," 006","ENCARNACION-REGINA","COSTA DE MARFIL",1,0
" 01"," 006","ENCARNACION-REGINA","CUBA",1,3
" 01"," 006","ENCARNACION-REGINA","ECUADOR",0,3
" 01"," 006","ENCARNACION-REGINA","ESLOVAQUIA",0,1
" 01"," 006","ENCARNACION-REGINA","ESTADOS UNIDOS DE AMERICA",1,4
" 01"," 006","ENCARNACION-REGINA","FRANCIA",10,12
" 01"," 006","ENCARNACION-REGINA","GEORGIA",0,1
" 01"," 006","ENCARNACION-REGINA","HONDURAS",1,0
" 01"," 006","ENCARNACION-REGINA","IRLANDA",1,0
" 01"," 006","ENCARNACION-REGINA","ITALIA",7,3
" 01"," 006","ENCARNACION-REGINA","JAPON",0,2
" 01"," 006","ENCARNACION-REGINA","MADAGASCAR",0,1
" 01"," 006","ENCARNACION-REGINA","MARRUECOS",6,2
" 01"," 006","ENCARNACION-REGINA","PAISES BAJOS",1,2
" 01"," 006","ENCARNACION-REGINA","PERU",1,4
" 01"," 006","ENCARNACION-REGINA","POLONIA",0,2
" 01"," 006","ENCARNACION-REGINA","PORTUGAL",2,1
" 01"," 006","ENCARNACION-REGINA","REINO UNIDO",8,6
" 01"," 006","ENCARNACION-REGINA","REPUBLICA DOMINICANA",1,1
" 01"," 006","ENCARNACION-REGINA","RUMANIA",2,5
" 01"," 006","ENCARNACION-REGINA","RUSIA",1,0
" 01"," 006","ENCARNACION-REGINA","SUECIA",1,0
" 01"," 006","ENCARNACION-REGINA","SUIZA",1,1
" 01"," 006","ENCARNACION-REGINA","TANZANIA",0,1
" 01"," 007","ENCARNACION-REGINA","ALBANIA",3,3
" 01"," 007","ENCARNACION-REGINA","ALEMANIA",4,0
" 01"," 007","ENCARNACION-REGINA","ARABIA SAUDITA",1,0
" 01"," 007","ENCARNACION-REGINA","ARGENTINA",3,0
" 01"," 007","ENCARNACION-REGINA","AUSTRIA",1,1
" 01"," 007","ENCARNACION-REGINA","BELGICA",0,3
" 01"," 007","ENCARNACION-REGINA","BOLIVIA",0,2
" 01"," 007","ENCARNACION-REGINA","BURKINA FASSO",1,0
" 01"," 007","ENCARNACION-REGINA","CHECOSLOVAQUIA",1,0
" 01"," 007","ENCARNACION-REGINA","CHILE",2,1
" 01"," 007","ENCARNACION-REGINA","CHINA",14,9
" 01"," 007","ENCARNACION-REGINA","COLOMBIA",1,3
" 01"," 007","ENCARNACION-REGINA","CUBA",2,1
" 01"," 007","ENCARNACION-REGINA","DINAMARCA",1,0
" 01"," 007","ENCARNACION-REGINA","ESTADOS UNIDOS DE AMERICA",3,6
" 01"," 007","ENCARNACION-REGINA","FILIPINAS",0,2
" 01"," 007","ENCARNACION-REGINA","FINLANDIA",0,1
" 01"," 007","ENCARNACION-REGINA","FRANCIA",5,4
" 01"," 007","ENCARNACION-REGINA","GAMBIA",1,0
" 01"," 007","ENCARNACION-REGINA","GUATEMALA",2,1
" 01"," 007","ENCARNACION-REGINA","GUINEA",0,1
" 01"," 007","ENCARNACION-REGINA","IRLANDA",6,1
" 01"," 007","ENCARNACION-REGINA","ITALIA",4,2
" 01"," 007","ENCARNACION-REGINA","JAPON",0,2
" 01"," 007","ENCARNACION-REGINA","MARRUECOS",5,3
" 01"," 007","ENCARNACION-REGINA","MEXICO",0,1
" 01"," 007","ENCARNACION-REGINA","NAMIBIA",0,1
" 01"," 007","ENCARNACION-REGINA","NICARAGUA",0,4
" 01"," 007","ENCARNACION-REGINA","NO CONSTA",1,0
" 01"," 007","ENCARNACION-REGINA","PAISES BAJOS",1,2
" 01"," 007","ENCARNACION-REGINA","PANAMA",0,1
" 01"," 007","ENCARNACION-REGINA","PARAGUAY",1,2
" 01"," 007","ENCARNACION-REGINA","PERU",2,3
" 01"," 007","ENCARNACION-REGINA","PORTUGAL",1,0
" 01"," 007","ENCARNACION-REGINA","REINO UNIDO",3,0
" 01"," 007","ENCARNACION-REGINA","REPUBLICA DEMOCRATICA DEL CONGO",2,1
" 01"," 007","ENCARNACION-REGINA","REPUBLICA DOMINICANA",0,4
" 01"," 007","ENCARNACION-REGINA","RUMANIA",2,1
" 01"," 007","ENCARNACION-REGINA","RUSIA",0,3
" 01"," 007","ENCARNACION-REGINA","SANTO TOME Y PRINCIPE",1,0
" 01"," 007","ENCARNACION-REGINA","SUECIA",0,2
" 01"," 007","ENCARNACION-REGINA","SUIZA",3,1
" 01"," 007","ENCARNACION-REGINA","TURQUIA",0,1
" 01"," 007","ENCARNACION-REGINA","UCRANIA",0,6
" 01"," 007","ENCARNACION-REGINA","URUGUAY",0,1
" 01"," 007","ENCARNACION-REGINA","VENEZUELA",3,3
" 01"," 008","SAN JULIAN","ALEMANIA",3,4
" 01"," 008","SAN JULIAN","ARGENTINA",2,1
" 01"," 008","SAN JULIAN","ARMENIA",1,0
" 01"," 008","SAN JULIAN","AUSTRALIA",1,0
" 01"," 008","SAN JULIAN","AUSTRIA",0,1
" 01"," 008","SAN JULIAN","BELGICA",1,1
" 01"," 008","SAN JULIAN","BOSNIA-HERZEGOVINA",0,1
" 01"," 008","SAN JULIAN","BOSTWANA",0,1
" 01"," 008","SAN JULIAN","BULGARIA",1,1
" 01"," 008","SAN JULIAN","CHINA",1,2
" 01"," 008","SAN JULIAN","COLOMBIA",1,2
" 01"," 008","SAN JULIAN","ECUADOR",0,1
" 01"," 008","SAN JULIAN","EL SALVADOR",1,0
" 01"," 008","SAN JULIAN","ESTADOS UNIDOS DE AMERICA",2,1
" 01"," 008","SAN JULIAN","FRANCIA",3,7
" 01"," 008","SAN JULIAN","GAMBIA",0,1
" 01"," 008","SAN JULIAN","GHANA",1,0
" 01"," 008","SAN JULIAN","IRLANDA",1,1
" 01"," 008","SAN JULIAN","ITALIA",3,3
" 01"," 008","SAN JULIAN","LITUANIA",1,0
" 01"," 008","SAN JULIAN","MARRUECOS",3,0
" 01"," 008","SAN JULIAN","MEXICO",2,0
" 01"," 008","SAN JULIAN","MONACO",0,1
" 01"," 008","SAN JULIAN","MONTENEGRO",1,0
" 01"," 008","SAN JULIAN","NICARAGUA",0,4
" 01"," 008","SAN JULIAN","NIGERIA",1,0
" 01"," 008","SAN JULIAN","NORUEGA",1,1
" 01"," 008","SAN JULIAN","PERU",0,1
" 01"," 008","SAN JULIAN","POLONIA",1,1
" 01"," 008","SAN JULIAN","PORTUGAL",0,1
" 01"," 008","SAN JULIAN","REINO UNIDO",4,1
" 01"," 008","SAN JULIAN","REPUBLICA DEMOCRATICA DEL CONGO",0,1
" 01"," 008","SAN JULIAN","REPUBLICA DOMINICANA",0,1
" 01"," 008","SAN JULIAN","RUMANIA",1,2
" 01"," 008","SAN JULIAN","RUSIA",1,2
" 01"," 008","SAN JULIAN","SERBIA",1,0
" 01"," 008","SAN JULIAN","SIRIA",1,0
" 01"," 008","SAN JULIAN","TCHAD",1,1
" 01"," 009","SAN VICENTE","ALEMANIA",1,1
" 01"," 009","SAN VICENTE","ARABIA SAUDITA",1,0
" 01"," 009","SAN VICENTE","ARGELIA",1,0
" 01"," 009","SAN VICENTE","ARGENTINA",3,4
" 01"," 009","SAN VICENTE","ARMENIA",2,0
" 01"," 009","SAN VICENTE","AUSTRALIA",0,1
" 01"," 009","SAN VICENTE","AZERBAIAN",1,1
" 01"," 009","SAN VICENTE","BELGICA",0,2
" 01"," 009","SAN VICENTE","BOLIVIA",2,3
" 01"," 009","SAN VICENTE","BRASIL",0,1
" 01"," 009","SAN VICENTE","BURKINA FASSO",0,1
" 01"," 009","SAN VICENTE","CAMERUN",0,1
" 01"," 009","SAN VICENTE","CHINA",4,1
" 01"," 009","SAN VICENTE","COSTA DE MARFIL",1,0
" 01"," 009","SAN VICENTE","CUBA",2,0
" 01"," 009","SAN VICENTE","ECUADOR",1,4
" 01"," 009","SAN VICENTE","ESTADOS UNIDOS DE AMERICA",1,1
" 01"," 009","SAN VICENTE","FILIPINAS",0,2
" 01"," 009","SAN VICENTE","FRANCIA",5,6
" 01"," 009","SAN VICENTE","GUATEMALA",0,1
" 01"," 009","SAN VICENTE","ITALIA",5,4
" 01"," 009","SAN VICENTE","LITUANIA",1,0
" 01"," 009","SAN VICENTE","MARRUECOS",6,3
" 01"," 009","SAN VICENTE","MEXICO",0,1
" 01"," 009","SAN VICENTE","MONTENEGRO",1,0
" 01"," 009","SAN VICENTE","NORUEGA",0,1
" 01"," 009","SAN VICENTE","PAISES BAJOS",2,1
" 01"," 009","SAN VICENTE","PERU",0,2
" 01"," 009","SAN VICENTE","POLONIA",1,1
" 01"," 009","SAN VICENTE","REINO UNIDO",4,5
" 01"," 009","SAN VICENTE","REPUBLICA DEMOCRATICA DEL CONGO",2,0
" 01"," 009","SAN VICENTE","RUMANIA",3,0
" 01"," 009","SAN VICENTE","RUSIA",2,1
" 01"," 009","SAN VICENTE","SIRIA",1,0
" 01"," 009","SAN VICENTE","SUECIA",0,1
" 01"," 009","SAN VICENTE","TANZANIA",1,0
" 01"," 009","SAN VICENTE","UCRANIA",1,0
" 01"," 009","SAN VICENTE","URUGUAY",0,1
" 01"," 009","SAN VICENTE","VENEZUELA",2,3
" 01"," 010","SAN VICENTE","ALBANIA",1,0
" 01"," 010","SAN VICENTE","ALEMANIA",1,3
" 01"," 010","SAN VICENTE","ARGELIA",2,1
" 01"," 010","SAN VICENTE","ARGENTINA",4,4
" 01"," 010","SAN VICENTE","ARMENIA",0,1
" 01"," 010","SAN VICENTE","AUSTRIA",0,1
" 01"," 010","SAN VICENTE","BELGICA",0,1
" 01"," 010","SAN VICENTE","BOLIVIA",1,1
" 01"," 010","SAN VICENTE","BRASIL",0,2
" 01"," 010","SAN VICENTE","BULGARIA",2,3
" 01"," 010","SAN VICENTE","CANADA",0,1
" 01"," 010","SAN VICENTE","CHILE",0,1
" 01"," 010","SAN VICENTE","CHINA",1,5
" 01"," 010","SAN VICENTE","COLOMBIA",3,3
" 01"," 010","SAN VICENTE","COSTA DE MARFIL",2,1
" 01"," 010","SAN VICENTE","COSTA RICA",1,0
" 01"," 010","SAN VICENTE","DINAMARCA",0,1
" 01"," 010","SAN VICENTE","ECUADOR",2,2
" 01"," 010","SAN VICENTE","ESLOVAQUIA",1,0
" 01"," 010","SAN VICENTE","ESTADOS UNIDOS DE AMERICA",7,6
" 01"," 010","SAN VICENTE","FINLANDIA",0,1
" 01"," 010","SAN VICENTE","FRANCIA",9,13
" 01"," 010","SAN VICENTE","GAMBIA",0,2
" 01"," 010","SAN VICENTE","GEORGIA",0,1
" 01"," 010","SAN VICENTE","GUINEA BISSAU",0,2
" 01"," 010","SAN VICENTE","HONDURAS",1,0
" 01"," 010","SAN VICENTE","INDIA",0,1
" 01"," 010","SAN VICENTE","ITALIA",11,5
" 01"," 010","SAN VICENTE","LETONIA",0,1
" 01"," 010","SAN VICENTE","MARRUECOS",3,10
" 01"," 010","SAN VICENTE","MEXICO",1,1
" 01"," 010","SAN VICENTE","MONTENEGRO",1,1
" 01"," 010","SAN VICENTE","PAISES BAJOS",1,2
" 01"," 010","SAN VICENTE","PERU",2,1
" 01"," 010","SAN VICENTE","REINO UNIDO",7,4
" 01"," 010","SAN VICENTE","REPUBLICA DEMOCRATICA DEL CONGO",0,1
" 01"," 010","SAN VICENTE","RUMANIA",0,1
" 01"," 010","SAN VICENTE","RUSIA",3,3
" 01"," 010","SAN VICENTE","SAN MARINO",0,1
" 01"," 010","SAN VICENTE","SANTO TOME Y PRINCIPE",1,0
" 01"," 010","SAN VICENTE","SUECIA",0,2
" 01"," 010","SAN VICENTE","SUIZA",3,0
" 01"," 010","SAN VICENTE","URUGUAY",1,1
" 01"," 011","SAN LORENZO","ALBANIA",1,1
" 01"," 011","SAN LORENZO","ALEMANIA",5,5
" 01"," 011","SAN LORENZO","ARGENTINA",2,2
" 01"," 011","SAN LORENZO","ARMENIA",0,1
" 01"," 011","SAN LORENZO","AUSTRIA",1,2
" 01"," 011","SAN LORENZO","AZERBAIAN",0,1
" 01"," 011","SAN LORENZO","BRASIL",1,0
" 01"," 011","SAN LORENZO","CHILE",0,1
" 01"," 011","SAN LORENZO","CHINA",3,2
" 01"," 011","SAN LORENZO","DINAMARCA",0,1
" 01"," 011","SAN LORENZO","ECUADOR",1,0
" 01"," 011","SAN LORENZO","ESTADOS UNIDOS DE AMERICA",2,5
" 01"," 011","SAN LORENZO","FRANCIA",8,10
" 01"," 011","SAN LORENZO","GRECIA",1,0
" 01"," 011","SAN LORENZO","GUINEA BISSAU",1,0
" 01"," 011","SAN LORENZO","HUNGRIA",0,1
" 01"," 011","SAN LORENZO","ISRAEL",1,0
" 01"," 011","SAN LORENZO","ITALIA",3,8
" 01"," 011","SAN LORENZO","MARRUECOS",3,5
" 01"," 011","SAN LORENZO","NORUEGA",1,1
" 01"," 011","SAN LORENZO","PAISES BAJOS",1,1
" 01"," 011","SAN LORENZO","PERU",2,2
" 01"," 011","SAN LORENZO","POLONIA",0,2
" 01"," 011","SAN LORENZO","PORTUGAL",3,1
" 01"," 011","SAN LORENZO","REINO UNIDO",3,2
" 01"," 011","SAN LORENZO","REPUBLICA CHECA",0,1
" 01"," 011","SAN LORENZO","RUMANIA",0,3
" 01"," 011","SAN LORENZO","RUSIA",0,1
" 01"," 011","SAN LORENZO","SIRIA",1,0
" 01"," 011","SAN LORENZO","SUIZA",1,0
" 01"," 011","SAN LORENZO","VENEZUELA",2,5
" 01"," 012","SAN VICENTE","ALBANIA",1,1
" 01"," 012","SAN VICENTE","ALEMANIA",3,4
" 01"," 012","SAN VICENTE","ARGENTINA",5,2
" 01"," 012","SAN VICENTE","ARMENIA",1,0
" 01"," 012","SAN VICENTE","AUSTRALIA",0,2
" 01"," 012","SAN VICENTE","AUSTRIA",1,0
" 01"," 012","SAN VICENTE","BELGICA",1,2
" 01"," 012","SAN VICENTE","BOLIVIA",0,2
" 01"," 012","SAN VICENTE","BRASIL",0,2
" 01"," 012","SAN VICENTE","BURKINA FASSO",0,1
" 01"," 012","SAN VICENTE","CANADA",1,0
" 01"," 012","SAN VICENTE","CHECOSLOVAQUIA",0,1
" 01"," 012","SAN VICENTE","CHILE",2,1
" 01"," 012","SAN VICENTE","CHINA",4,4
" 01"," 012","SAN VICENTE","COLOMBIA",0,1
" 01"," 012","SAN VICENTE","DINAMARCA",1,1
" 01"," 012","SAN VICENTE","EGIPTO",1,0
" 01"," 012","SAN VICENTE","EMIRATOS ARABES UNIDOS",1,0
" 01"," 012","SAN VICENTE","ESTADOS UNIDOS DE AMERICA",1,5
" 01"," 012","SAN VICENTE","FRANCIA",3,4
" 01"," 012","SAN VICENTE","GUINEA",0,1
" 01"," 012","SAN VICENTE","HUNGRIA",1,0
" 01"," 012","SAN VICENTE","INDIA",0,1
" 01"," 012","SAN VICENTE","ISLANDIA",1,0
" 01"," 012","SAN VICENTE","ITALIA",5,5
" 01"," 012","SAN VICENTE","KENIA",0,6
" 01"," 012","SAN VICENTE","MACEDONIA",1,0
" 01"," 012","SAN VICENTE","MARRUECOS",3,7
" 01"," 012","SAN VICENTE","MEXICO",2,3
" 01"," 012","SAN VICENTE","MONTENEGRO",1,2
